pe_id,throughput,data_size,epoch_size,group,op,num_pe
3,490775.02,1,128,atomic,fetch-add64,4
0,150330.22,1,1,atomic,fetch-add64,8
1,150362.62,1,1,atomic,fetch-add64,8
2,150340.41,1,1,atomic,fetch-add64,8
3,150334.48,1,1,atomic,fetch-add64,8
4,150342.08,1,1,atomic,fetch-add64,8
5,150349.38,1,1,atomic,fetch-add64,8
6,150338.87,1,1,atomic,fetch-add64,8
7,150346.49,1,1,atomic,fetch-add64,8
0,300681.27,1,2,atomic,fetch-add64,8
1,300686.32,1,2,atomic,fetch-add64,8
2,300737.62,1,2,atomic,fetch-add64,8
3,300730.10,1,2,atomic,fetch-add64,8
4,300703.86,1,2,atomic,fetch-add64,8
5,300678.93,1,2,atomic,fetch-add64,8
6,300706.12,1,2,atomic,fetch-add64,8
7,300756.07,1,2,atomic,fetch-add64,8
0,460959.38,1,4,atomic,fetch-add64,8
1,461457.73,1,4,atomic,fetch-add64,8
2,461535.93,1,4,atomic,fetch-add64,8
3,461394.75,1,4,atomic,fetch-add64,8
4,461471.98,1,4,atomic,fetch-add64,8
5,461476.74,1,4,atomic,fetch-add64,8
6,461526.46,1,4,atomic,fetch-add64,8
7,461448.54,1,4,atomic,fetch-add64,8
0,462839.29,1,8,atomic,fetch-add64,8
1,463481.13,1,8,atomic,fetch-add64,8
2,463635.31,1,8,atomic,fetch-add64,8
3,463639.48,1,8,atomic,fetch-add64,8
4,463569.69,1,8,atomic,fetch-add64,8
5,463755.88,1,8,atomic,fetch-add64,8
6,463666.87,1,8,atomic,fetch-add64,8
7,463552.68,1,8,atomic,fetch-add64,8
0,465197.92,1,16,atomic,fetch-add64,8
