pe_id,throughput,data_size,epoch_size,group,op,num_pe
4,56864.32,1,64,atomic,fetch-add32,32
5,56382.77,1,64,atomic,fetch-add32,32
6,56865.73,1,64,atomic,fetch-add32,32
7,56801.98,1,64,atomic,fetch-add32,32
8,56934.31,1,64,atomic,fetch-add32,32
9,56504.51,1,64,atomic,fetch-add32,32
10,56698.44,1,64,atomic,fetch-add32,32
11,56755.51,1,64,atomic,fetch-add32,32
12,56359.11,1,64,atomic,fetch-add32,32
13,56439.17,1,64,atomic,fetch-add32,32
14,56683.22,1,64,atomic,fetch-add32,32
15,56777.34,1,64,atomic,fetch-add32,32
16,56410.33,1,64,atomic,fetch-add32,32
17,56461.05,1,64,atomic,fetch-add32,32
18,56704.74,1,64,atomic,fetch-add32,32
19,56421.00,1,64,atomic,fetch-add32,32
20,56360.05,1,64,atomic,fetch-add32,32
21,56542.06,1,64,atomic,fetch-add32,32
22,57018.40,1,64,atomic,fetch-add32,32
23,56496.31,1,64,atomic,fetch-add32,32
24,56503.67,1,64,atomic,fetch-add32,32
25,56655.36,1,64,atomic,fetch-add32,32
26,56589.05,1,64,atomic,fetch-add32,32
27,56556.01,1,64,atomic,fetch-add32,32
28,56650.88,1,64,atomic,fetch-add32,32
29,56546.88,1,64,atomic,fetch-add32,32
30,56593.76,1,64,atomic,fetch-add32,32
31,56400.99,1,64,atomic,fetch-add32,32
0,56176.08,1,128,atomic,fetch-add32,32
1,55795.80,1,128,atomic,fetch-add32,32
2,56120.88,1,128,atomic,fetch-add32,32
3,55935.12,1,128,atomic,fetch-add32,32
4,56043.87,1,128,atomic,fetch-add32,32
5,55827.31,1,128,atomic,fetch-add32,32
6,56215.75,1,128,atomic,fetch-add32,32
7,55834.90,1,128,atomic,fetch-add32,32
8,56051.76,1,128,atomic,fetch-add32,32
9,55787.73,1,128,atomic,fetch-add32,32
10,55881.82,1,128,atomic,fetch-add32,32
11,56338.08,1,128,atomic,fetch-add32,32
12,56168.58,1,128,atomic,fetch-add32,32
13,56063.80,1,128,atomic,fetch-add32,32
14,55982.66,1,128,atomic,fetch-add32,32
15,55984.19,1,128,atomic,fetch-add32,32
16,56030.57,1,128,atomic,fetch-add32,32
17,56304.68,1,128,atomic,fetch-add32,32
18,55786.59,1,128,atomic,fetch-add32,32
19,55745.15,1,128,atomic,fetch-add32,32
20,55730.62,1,128,atomic,fetch-add32,32
21,55841.92,1,128,atomic,fetch-add32,32
22,55702.99,1,128,atomic,fetch-add32,32
23,55936.60,1,128,atomic,fetch-add32,32
24,55876.59,1,128,atomic,fetch-add32,32
25,56270.50,1,128,atomic,fetch-add32,32
26,55755.07,1,128,atomic,fetch-add32,32
27,55771.07,1,128,atomic,fetch-add32,32
28,55737.38,1,128,atomic,fetch-add32,32
29,55883.91,1,128,atomic,fetch-add32,32
30,55655.33,1,128,atomic,fetch-add32,32
31,55702.58,1,128,atomic,fetch-add32,32
0,462089.66,1,1,atomic,fetch-add64,1
0,453323.83,1,2,atomic,fetch-add64,1
0,460069.03,1,4,atomic,fetch-add64,1
0,453351.14,1,8,atomic,fetch-add64,1
0,458906.68,1,16,atomic,fetch-add64,1
0,460467.58,1,32,atomic,fetch-add64,1
0,463572.19,1,64,atomic,fetch-add64,1
0,466775.53,1,128,atomic,fetch-add64,1
0,487988.70,1,1,atomic,fetch-add64,2
1,488167.69,1,1,atomic,fetch-add64,2
0,457733.46,1,2,atomic,fetch-add64,2
1,457750.48,1,2,atomic,fetch-add64,2
0,485650.04,1,4,atomic,fetch-add64,2
1,485614.44,1,4,atomic,fetch-add64,2
0,486885.66,1,8,atomic,fetch-add64,2
1,486692.57,1,8,atomic,fetch-add64,2
0,486594.29,1,16,atomic,fetch-add64,2
1,486596.00,1,16,atomic,fetch-add64,2
0,476686.07,1,32,atomic,fetch-add64,2
1,476624.67,1,32,atomic,fetch-add64,2
0,481821.34,1,64,atomic,fetch-add64,2
1,482811.55,1,64,atomic,fetch-add64,2
0,490368.94,1,128,atomic,fetch-add64,2
1,492583.18,1,128,atomic,fetch-add64,2
0,286323.21,1,1,atomic,fetch-add64,4
1,286332.26,1,1,atomic,fetch-add64,4
2,286310.66,1,1,atomic,fetch-add64,4
3,286317.91,1,1,atomic,fetch-add64,4
0,480467.44,1,2,atomic,fetch-add64,4
1,480421.23,1,2,atomic,fetch-add64,4
2,480431.59,1,2,atomic,fetch-add64,4
3,480389.26,1,2,atomic,fetch-add64,4
0,483132.55,1,4,atomic,fetch-add64,4
1,483223.28,1,4,atomic,fetch-add64,4
2,483106.20,1,4,atomic,fetch-add64,4
3,483204.98,1,4,atomic,fetch-add64,4
0,483774.90,1,8,atomic,fetch-add64,4
1,483787.92,1,8,atomic,fetch-add64,4
2,483754.79,1,8,atomic,fetch-add64,4
3,483777.93,1,8,atomic,fetch-add64,4
0,483755.16,1,16,atomic,fetch-add64,4
1,483682.25,1,16,atomic,fetch-add64,4
2,483492.25,1,16,atomic,fetch-add64,4
3,483469.44,1,16,atomic,fetch-add64,4
0,485218.57,1,32,atomic,fetch-add64,4
1,485185.55,1,32,atomic,fetch-add64,4
2,485380.83,1,32,atomic,fetch-add64,4
3,485381.60,1,32,atomic,fetch-add64,4
0,484859.12,1,64,atomic,fetch-add64,4
1,485046.64,1,64,atomic,fetch-add64,4
2,485337.90,1,64,atomic,fetch-add64,4
3,485345.44,1,64,atomic,fetch-add64,4
0,488511.43,1,128,atomic,fetch-add64,4
1,489674.63,1,128,atomic,fetch-add64,4
2,489705.88,1,128,atomic,fetch-add64,4
3,488654.90,1,128,atomic,fetch-add64,4
0,139215.45,1,1,atomic,fetch-add64,8
1,139206.95,1,1,atomic,fetch-add64,8
2,139212.49,1,1,atomic,fetch-add64,8
3,139210.38,1,1,atomic,fetch-add64,8
4,139208.91,1,1,atomic,fetch-add64,8
5,139214.16,1,1,atomic,fetch-add64,8
6,139200.23,1,1,atomic,fetch-add64,8
